irtkSegmentTable: 138   
1 255 0 0 1 1 3rd Ventricle
2 0 255 0 1 1 4th Ventricle
3 255 255 0 1 1 Right Accumbens Area
4 0 0 255 1 1 Left Accumbens Area
5 255 255 255 1 1 Right Amygdala
6 255 255 255 1 1 Left Amygdala
7 255 0 0 1 1 Brain Stem
8 255 255 255 1 1 Right Caudate
9 7 255 7 1 1 Left Caudate
10 255 255 7 1 1 Right Cerebellum Exterior
11 7 7 255 1 1 Left Cerebellum Exterior
12 255 7 255 1 1 Right Cerebellum White Matter
13 7 255 255 1 1 Left Cerebellum White Matter
14 248 248 248 1 1 Right Cerebral Exterior
15 255 14 14 1 1 Left Cerebral Exterior
16 14 255 14 1 1 Right Cerebral White Matter
17 255 255 14 1 1 Left Cerebral White Matter
18 14 14 255 1 1 CSF
19 255 14 255 1 1 Right Hippocampus
20 14 255 255 1 1 Left Hippocampus
21 241 241 241 1 1 Right Inf Lat Vent
22 255 21 21 1 1 Left Inf Lat Vent
23 21 255 21 1 1 Right Lateral Ventricle
24 255 255 21 1 1 Left Lateral Ventricle
25 21 21 255 1 1 Right Pallidum
26 255 21 255 1 1 Left Pallidum
27 21 255 255 1 1 Right Putamen
28 234 234 234 1 1 Left Putamen
29 255 28 28 1 1 Right Thalamus Proper
30 28 255 28 1 1 Left Thalamus Proper
31 255 255 28 1 1 Right Ventral DC
32 28 28 255 1 1 Left Ventral DC
33 255 28 255 1 1 Right vessel
34 28 255 255 1 1 Left vessel
35 227 227 227 1 1 Optic Chiasm
36 255 35 35 1 1 Cerebellar Vermal Lobules I-V
37 35 255 35 1 1 Cerebellar Vermal Lobules VI-VII
38 255 255 35 1 1 Cerebellar Vermal Lobules VIII-X
39 35 35 255 1 1 Left Basal Forebrain
40 255 35 255 1 1 Right Basal Forebrain
41 35 255 255 1 1 Right ACgG anterior cingulate gyrus
42 220 220 220 1 1 Left ACgG anterior cingulate gyrus
43 255 42 42 1 1 Right AIns anterior insula
44 42 255 42 1 1 Left AIns anterior insula
45 255 255 42 1 1 Right AOrG anterior orbital gyrus
46 42 42 255 1 1 Left AOrG anterior orbital gyrus
47 255 42 255 1 1 Right AnG angular gyrus
48 42 255 255 1 1 Left AnG angular gyrus
49 213 213 213 1 1 Right Calc calcarine cortex
50 255 49 49 1 1 Left Calc calcarine cortex
51 49 255 49 1 1 Right CO central operculum
52 255 255 49 1 1 Left CO central operculum
53 49 49 255 1 1 Right Cun cuneus
54 255 49 255 1 1 Left Cun cuneus
